ind,sampling_year,sampling_month,sampling_loc,seq_library,library_type,SL_mm,TL_mm,mass_g,juvenile,raw_reads,assem_reads,assem_pct,pheno_ID,pheno_sex,pca_ID_RAD,pca_ID_GBS,entropy_ID,spp_agree,checkHets_quality,keep,comments,final_ID
JAR18_139935,2018,May,Wampembe,lates03,GBS,102,123,11,Y,1174003,1104630,94.10%,Lmar,F,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139936,2018,May,Wampembe,lates03,GBS,140,161,37,Y,1023064,960753,93.90%,Lmar,F,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139937,2018,May,Wampembe,lates03,GBS,165,191,73,Y,1019373,957376,93.90%,Lmar,F,#N/A,#N/A,Lmar,TRUE,2,Y,,Lmar
JAR18_139938,2018,May,Wampembe,lates03,GBS,79,90,3,Y,743001,699754,94.20%,Lmar,,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139939,2018,May,Wampembe,lates03,GBS,132,150,22,Y,860395,806865,93.80%,Lmar,F,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139940,2018,May,Wampembe,lates03,GBS,113,133,24,Y,1206439,1136139,94.20%,Lmar,F,#N/A,#N/A,Lmar,TRUE,2,Y,,Lmar
JAR18_139941,2018,May,Wampembe,lates03,GBS,170,191,64,Y,962739,895814,93.00%,Lmar,,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139942,2018,May,Wampembe,lates03,GBS,109,123,24,Y,1099793,1023034,93.00%,Lmar,,#N/A,#N/A,Lmar,TRUE,2,Y,,Lmar
JAR18_139943,2018,May,Wampembe,lates03,GBS,75,90,30,Y,1213654,1140128,93.90%,Lmar,,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139944,2018,May,Wampembe,lates03,GBS,90,105,4,Y,935375,858044,91.70%,Lmar,,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139945,2018,May,Wampembe,lates03,GBS,73,85,2,Y,1038424,974021,93.80%,Lmar,,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139946,2018,May,Wampembe,lates03,GBS,62,70,2,Y,800444,753585,94.10%,Lmar,,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139947,2018,May,Wampembe,lates03,GBS,70,82,4,Y,776194,727532,93.70%,Lmar,,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139948,2018,May,Wampembe,lates03,GBS,75,90,4,Y,1103464,1030266,93.40%,Lmar,,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139983,2018,May,Wampembe,lates03,GBS,269,305,159,N,881976,815013,92.40%,Lsta,M,#N/A,Lunk,Lsta,TRUE,2,N,,#N/A
JAR18_139984,2018,May,Wampembe,lates03,GBS,285,335,219,N,695059,648986,93.40%,Lsta,F,#N/A,#N/A,Lunk,TRUE,3,N,,#N/A
JAR18_139985,2018,May,Wampembe,lates03,GBS,243,277,142,N,1264294,1158764,91.70%,Lsta,M,#N/A,#N/A,Lsta,TRUE,4,N,,#N/A
