New_ID,Moran_FishID,Site,Location,Field.ID,Sex,Library,lates01,lates02,lates03,duplicate,Plate,entropy_dnaID,raxml_dnaID
lates02.JAR18_139529,JAR18_139529,Katonga,Kigoma,Lsta,F,lates02,F,T,F,F,02_plate1,Lsta,Lsta
lates02.JAR18_139550,JAR18_139550,Katonga,Kigoma,Lsta,F,lates02,F,T,F,F,02_plate1,Lsta,Lsta
lates02.JAR18_139743,JAR18_139743,Sibwesa,Sibwesa,Lsta,F,lates02,F,T,F,F,02_plate1,Lsta,Lsta
lates02.JAR18_139848,JAR18_139848,Kirando,Kirando,Lsta,,lates02,F,T,F,F,02_plate1,Lsta,Lsta
lates02.JAR18_139849,JAR18_139849,Kirando,Kirando,Lsta,,lates02,F,T,F,F,02_plate1,Lsta,Lsta
lates02.JAR18_139850,JAR18_139850,Kirando,Kirando,Lsta,,lates02,F,T,F,F,02_plate1,Lsta,Lsta
lates02.JAR18_139851,JAR18_139851,Kirando,Kirando,Lsta,,lates02,F,T,F,F,02_plate1,Lsta,Lsta
lates02.JAR18_139852,JAR18_139852,Kirando,Kirando,Lsta,,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lsta,Lsta
lates02.JAR18_139853,JAR18_139853,Kirando,Kirando,Lsta,,lates02lates03,F,T,T,T,"02_plate1,03_plate2",Lsta,Lsta
lates02.JAR18_139854,JAR18_139854,Kirando,Kirando,Lsta,,lates02,F,T,F,F,02_plate1,Lsta,Lsta
lates02.JAR18_139855,JAR18_139855,Kirando,Kirando,Lsta,,lates02,F,T,F,F,02_plate1,Lsta,Lsta
lates02.JAR18_139856,JAR18_139856,Kirando,Kirando,Lsta,,lates02,F,T,F,F,02_plate1,Lsta,Lsta
lates02.JAR18_139857,JAR18_139857,Kirando,Kirando,Lsta,,lates02,F,T,F,F,02_plate1,Lsta,Lsta
lates02.JAR18_139858,JAR18_139858,Kirando,Kirando,Lsta,,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lsta,Lsta
lates02.JAR18_139859,JAR18_139859,Kirando,Kirando,Lsta,,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lsta,Lsta
lates02.JAR18_139860,JAR18_139860,Kirando,Kirando,Lsta,,lates02,F,T,F,F,02_plate1,Lsta,Lsta
lates02.JAR18_139861,JAR18_139861,Kirando,Kirando,Lsta,,lates02,F,T,F,F,02_plate1,Lsta,Lsta
lates02.JAR18_139862,JAR18_139862,Kirando,Kirando,Lsta,,lates02lates03,F,T,T,T,"02_plate1,03_plate2",Lsta,Lsta
lates02.JAR18_139863,JAR18_139863,Kirando,Kirando,Lang,,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139864,JAR18_139864,Kirando,Kirando,Lang,,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139865,JAR18_139865,Kirando,Kirando,Lmar,,lates02,F,T,F,F,02_plate1,Lmar,Lmic
lates02.JAR18_139866,JAR18_139866,Kirando,Kirando,Lmic,,lates02,F,T,F,F,02_plate1,Lmic,Lmar
lates02.JAR18_139867,JAR18_139867,Kirando,Kirando,Lsta,,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lsta,Lsta
lates02.JAR18_139891,JAR18_139891,Kirando,Kirando,Lmar,,lates02lates03,F,T,T,T,"02_plate1,03_plate2",Lang,Lang
lates02.JAR18_139892,JAR18_139892,Kirando,Kirando,Lang,,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139893,JAR18_139893,Kirando,Kirando,Lang,M,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139894,JAR18_139894,Kirando,Kirando,Lang,F,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139895,JAR18_139895,Kirando,Kirando,Lmar,F,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lmic,Lmar
lates02.JAR18_139896,JAR18_139896,Kirando,Kirando,Lang,M?,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139897,JAR18_139897,Kirando,Kirando,Lmar,F,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lmic,Lmar
lates02.JAR18_139898,JAR18_139898,Kirando,Kirando,Lmar,F,lates02,F,T,F,F,02_plate1,Lmar,Lmic
lates02.JAR18_139899,JAR18_139899,Kirando,Kirando,Lmar,F,lates02lates03,F,T,T,T,"02_plate1,03_plate2",Lmic,Lmar
lates02.JAR18_139900,JAR18_139900,Kirando,Kirando,Lang,F,lates02lates03,F,T,T,T,"02_plate1,03_plate2",Lang,Lang
lates02.JAR18_139901,JAR18_139901,Kirando,Kirando,Lmar,,lates02lates03,F,T,T,T,"02_plate1,03_plate2",Lmic,Lmar
lates02.JAR18_139902,JAR18_139902,Kirando,Kirando,Lang,F,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lang,Lang
lates02.JAR18_139903,JAR18_139903,Kirando,Kirando,Lang,M,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lang,Lang
lates02.JAR18_139904,JAR18_139904,Kirando,Kirando,Lang,F,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139905,JAR18_139905,Kirando,Kirando,Lmar,,lates02,F,T,F,F,02_plate1,Lmar,Lmic
lates02.JAR18_139906,JAR18_139906,Kirando,Kirando,Lmar,,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lunk,Lunk
lates02.JAR18_139907,JAR18_139907,Kirando,Kirando,Lmar,,lates02lates03,F,T,T,T,"02_plate1,03_plate2",Lmic,Lmar
lates02.JAR18_139914,JAR18_139914,Kirando,Kirando,Lmic,,lates02lates03,F,T,T,T,"02_plate1,03_plate2",Lmar,Lmic
lates02.JAR18_139921,JAR18_139921,Wampembe,Wampembe,Lmar,F,lates02lates03,F,T,T,T,"02_plate1,03_plate2",Lmic,Lmar
