ind,Field_ID,FishEC_num,sampling_year,sampling_month,sampling_loc,seq_library,SL_mm,TL_mm,mass_g,juvenile,data_type,raw_reads,assem_reads,assem_pct,pheno_ID,final_ID,assign_k2,assign_k3,assign_k4,assign_k5,assign_k6
JAR18_139989,#N/A,139989,2018,May,Wampembe,lates03,244,282,112,N,GBS,674109,601647,89.30%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139990,#N/A,139990,2018,May,Wampembe,lates03,244,282,139,N,GBS,1041043,987558,94.90%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139991,#N/A,139991,2018,May,Wampembe,lates03,259,292,152,N,GBS,862359,801475,92.90%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139992,#N/A,139992,2018,May,Wampembe,lates03,297,332,225,N,GBS,1103158,1015355,92.00%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139993,#N/A,139993,2018,May,Wampembe,lates03,250,282,156,N,GBS,1195302,1125068,94.10%,Lsta,Lsta,X1,NA,NA,NA,NA
JAR18_139995,#N/A,139995,2018,May,Wampembe,lates03,261,300,173,N,GBS,973976,814098,83.60%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139996,#N/A,139996,2018,May,Wampembe,lates03,280,300,147,N,GBS,510387,441028,86.40%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139997,#N/A,139997,2018,May,Wampembe,lates03,233,170,130,N,GBS,673137,615142,91.40%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139998,#N/A,139998,2018,May,Wampembe,lates03,239,275,224,N,GBS,953232,894178,93.80%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139999,#N/A,139999,2018,May,Wampembe,lates03,236,273,114,N,GBS,907345,827499,91.20%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_140000,#N/A,140000,2018,May,Wampembe,lates03,237,273,234,N,GBS,924191,859973,93.10%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_140001,#N/A,140001,2018,May,Wampembe,lates03,266,303,255,N,GBS,698675,654080,93.60%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_140002,#N/A,140002,2018,May,Wampembe,lates03,245,276,229,N,GBS,788055,733474,93.10%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_140014,#N/A,140014,2018,May,Kasanga,lates03,606,706,5000,N,GBS,1420656,1322016,93.10%,Lmar,Lmar,X1,X3,X1,X4,X4
JAR18_140015,#N/A,140015,2018,May,Kasanga,lates03,701,708,5000,N,GBS,1351255,1272257,94.20%,Lmic,NA,NA,NA,NA,NA,NA
JAR18_140016,#N/A,140016,2018,May,Kasanga,lates03,509,700,4300,N,GBS,796237,743302,93.40%,Lmic,NA,NA,NA,NA,NA,NA
JAR18_140017,#N/A,140017,2018,May,Kasanga,lates03,504,601,3000,N,GBS,1397572,1305800,93.40%,Lang,NA,NA,NA,NA,NA,NA
JAR18_140018,#N/A,140018,2018,May,Kasanga,lates03,509,608,4500,N,GBS,1472081,1379371,93.70%,Lmar,Lmar,X1,X3,X1,X4,X4
JAR18_140019,#N/A,140019,2018,May,Kasanga,lates03,604,704,4500,N,GBS,893482,830118,92.90%,Lang,NA,NA,NA,NA,NA,NA
JAR18_140020,#N/A,140020,2018,May,Kasanga,lates03,408,506,1000,N,GBS,792962,575297,72.60%,Lmar,NA,NA,NA,NA,NA,NA
JAR18_140021,#N/A,140021,2018,May,Kasanga,lates03,404,501,1500,N,GBS,1189245,1121653,94.30%,Lmar,Lmar,X1,X3,X1,X4,X4
JAR18_140022,#N/A,140022,2018,May,Kasanga,lates03,406,502,1500,N,GBS,1785331,1656517,92.80%,Lmar,NA,NA,NA,NA,NA,NA
JAR18_140023,#N/A,140023,2018,May,Kasanga,lates03,407,504,1000,N,GBS,877054,821568,93.70%,Lmar,NA,NA,NA,NA,NA,NA
JAR18_140024,#N/A,140024,2018,May,Kasanga,lates03,226,236,81,N,GBS,771177,723284,93.80%,Lsta,Lsta,X1,NA,NA,NA,NA
JAR18_140025,#N/A,140025,2018,May,Kasanga,lates03,222,254,108,N,GBS,812010,763078,94.00%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_140026,#N/A,140026,2018,May,Kasanga,lates03,213,249,102,N,GBS,932204,880137,94.40%,Lsta,Lsta,X2,NA,NA,NA,NA
JAR18_140027,#N/A,140027,2018,May,Kasanga,lates03,230,270,116,N,GBS,1081230,1014959,93.90%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_140028,#N/A,140028,2018,May,Kasanga,lates03,234,271,126,N,GBS,730976,683450,93.50%,Lsta,Lsta,X2,NA,NA,NA,NA
JAR18_140029,#N/A,140029,2018,May,Kasanga,lates03,218,243,97,N,GBS,878140,827002,94.20%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_140030,#N/A,140030,2018,May,Kasanga,lates03,191,228,76,N,GBS,852349,801808,94.10%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_140031,#N/A,140031,2018,May,Kasanga,lates03,204,236,84,N,GBS,887143,839641,94.60%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_140033,#N/A,140033,2018,May,Kasanga,lates03,196,231,75,N,GBS,1468180,1388646,94.60%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_140034,#N/A,140034,2018,May,Kasanga,lates03,232,267,116,N,GBS,459343,434424,94.60%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_140035,#N/A,140035,2018,May,Kasanga,lates03,222,256,106,N,GBS,1364239,1288791,94.50%,Lsta,NA,NA,NA,NA,NA,NA
